,identity,bankId,description,type,value,dueDate,profitability,risk,acquisitionDate,volumn,ticker,name,total_value,client_name,investment_name,inv_pct,investment_id,client_id
0,xp-Cdb-0-99999999990,xp,Cdb,Cdb,254,2022-09-07,0,96,2021-01-01,9311,,,2364994,JOSE,xp-Cdb-0,7.122477469573994,0,105
1,xp-Cdb-1-99999999990,xp,Cdb,Cdb,224,2022-09-15,0,12,2020-01-02,2925,,,655200,JOSE,xp-Cdb-1,1.9732173688664245,1,105
2,xp-Cdb-2-99999999990,xp,Cdb,Cdb,62,2022-08-18,0,1,2019-11-19,2283,,,141546,JOSE,xp-Cdb-2,0.4262836167484233,2,105
3,xp-Cdb-3-99999999990,xp,Cdb,Cdb,255,2024-04-10,0,51,2021-08-10,117,,,29835,JOSE,xp-Cdb-3,0.0898518623323104,3,105
4,xp-Cdb-4-99999999990,xp,Cdb,Cdb,188,2024-02-10,0,2,2021-05-31,4249,,,798812,JOSE,xp-Cdb-4,2.4057230049739413,4,105
5,xp-Cdb-5-99999999990,xp,Cdb,Cdb,84,2023-10-16,0,19,2021-02-26,5799,,,487116,JOSE,xp-Cdb-5,1.467011220776461,5,105
6,xp-Cdb-6-99999999990,xp,Cdb,Cdb,156,2024-02-19,0,32,2019-09-23,318,,,49608,JOSE,xp-Cdb-6,0.14940074364274358,6,105
7,xp-Cdb-7-99999999990,xp,Cdb,Cdb,252,2023-12-23,0,33,2019-10-08,1719,,,433188,JOSE,xp-Cdb-7,1.3046002527236091,7,105
8,xp-Lci-0-99999999990,xp,Lci,Lci,117,2023-08-06,0,8,2020-05-15,3550,,,415350,JOSE,xp-Lci-0,1.250878867763537,32,105
9,xp-Lci-1-99999999990,xp,Lci,Lci,242,2023-04-25,0,84,2020-01-07,7338,,,1775796,JOSE,xp-Lci-1,5.348033441336265,33,105
10,xp-Lci-2-99999999990,xp,Lci,Lci,139,2024-07-16,0,92,2020-05-31,1904,,,264656,JOSE,xp-Lci-2,0.797044896176301,34,105
11,xp-Lci-3-99999999990,xp,Lci,Lci,256,2023-01-13,0,91,2021-04-28,4470,,,1144320,JOSE,xp-Lci-3,3.446263888188686,35,105
12,xp-Lci-4-99999999990,xp,Lci,Lci,253,2022-10-11,0,11,2020-06-02,5870,,,1485110,JOSE,xp-Lci-4,4.472595919837021,36,105
13,xp-Lci-5-99999999990,xp,Lci,Lci,178,2022-08-20,0,16,2020-11-22,8731,,,1554118,JOSE,xp-Lci-5,4.680422208284417,37,105
14,xp-Lci-6-99999999990,xp,Lci,Lci,250,2023-04-22,0,83,2020-05-20,9090,,,2272500,JOSE,xp-Lci-6,6.843920132400717,38,105
15,xp-Lci-7-99999999990,xp,Lci,Lci,210,2022-12-10,0,90,2021-08-14,6207,,,1303470,JOSE,xp-Lci-7,3.9255641694083003,39,105
16,xp-Lca-0-99999999990,xp,Lca,Lca,166,2022-09-09,0,79,2021-06-23,235,,,39010,JOSE,xp-Lca-0,0.11748353107368624,24,105
17,xp-Lca-1-99999999990,xp,Lca,Lca,172,2023-06-10,0,8,2020-11-03,7849,,,1350028,JOSE,xp-Lca-1,4.065779453687425,25,105
18,xp-Lca-2-99999999990,xp,Lca,Lca,126,2023-01-22,0,63,2021-05-14,8606,,,1084356,JOSE,xp-Lca-2,3.2656747454739325,26,105
19,xp-Lca-3-99999999990,xp,Lca,Lca,127,2024-05-28,0,43,2020-01-03,2334,,,296418,JOSE,xp-Lca-3,0.8927001618508056,27,105
20,xp-Lca-4-99999999990,xp,Lca,Lca,248,2023-08-09,0,68,2020-01-16,468,,,116064,JOSE,xp-Lca-4,0.34954136248490947,28,105
21,xp-Lca-5-99999999990,xp,Lca,Lca,134,2022-08-19,0,0,2019-12-24,35,,,4690,JOSE,xp-Lca-5,0.014124526037825902,29,105
22,xp-Lca-6-99999999990,xp,Lca,Lca,193,2022-12-26,0,52,2021-03-11,1767,,,341031,JOSE,xp-Lca-6,1.0270578335193614,30,105
23,xp-Lca-7-99999999990,xp,Lca,Lca,144,2023-06-13,0,78,2020-05-12,5627,,,810288,JOSE,xp-Lca-7,2.4402844251893123,31,105
24,xp-Cri-0-99999999990,xp,Cri,Cri,169,2024-07-01,0,44,2020-12-03,6845,,,1156805,JOSE,xp-Cri-0,3.483864039059103,16,105
25,xp-Cri-1-99999999990,xp,Cri,Cri,198,2024-08-03,0,28,2021-07-09,6232,,,1233936,JOSE,xp-Cri-1,3.7161537656739325,17,105
26,xp-Cri-2-99999999990,xp,Cri,Cri,177,2022-12-05,0,51,2021-08-05,539,,,95403,JOSE,xp-Cri-2,0.28731815726795407,18,105
27,xp-Cri-3-99999999990,xp,Cri,Cri,171,2022-09-15,0,15,2021-03-19,9920,,,1696320,JOSE,xp-Cri-3,5.108681451702523,19,105
28,xp-Cri-4-99999999990,xp,Cri,Cri,216,2023-03-08,0,89,2019-09-21,8325,,,1798200,JOSE,xp-Cri-4,5.415505910707577,20,105
29,xp-Cri-5-99999999990,xp,Cri,Cri,242,2022-11-09,0,50,2020-04-11,2334,,,564828,JOSE,xp-Cri-5,1.7010507021094092,21,105
30,xp-Cri-6-99999999990,xp,Cri,Cri,207,2023-05-06,0,0,2019-11-07,486,,,100602,JOSE,xp-Cri-6,0.3029756009503969,22,105
31,xp-Cri-7-99999999990,xp,Cri,Cri,113,2024-05-04,0,54,2021-05-13,2771,,,313123,JOSE,xp-Cri-7,0.9430093745292452,23,105
32,xp-Cra-0-99999999990,xp,Cra,Cra,81,2023-01-07,0,8,2021-06-21,3735,,,302535,JOSE,xp-Cra-0,0.9111222782203965,8,105
33,xp-Cra-1-99999999990,xp,Cra,Cra,203,2023-07-28,0,68,2019-09-29,1483,,,301049,JOSE,xp-Cra-1,0.9066470019534009,9,105
