,identity,bankId,description,type,value,dueDate,profitability,risk,acquisitionDate,volumn,ticker,name,total_value,client_name,investment_name,inv_pct,investment_id,client_id
0,xp-Cdb-0-99999999990,xp,Cdb,Cdb,254,2022-09-07,0,96,2021-01-01,9311,,,2364994,JOSE,xp-Cdb-0,10.533773724880115,0,105
1,xp-Cdb-2-99999999990,xp,Cdb,Cdb,62,2022-08-18,0,1,2019-11-19,2283,,,141546,JOSE,xp-Cdb-2,0.6304512974078923,2,105
2,xp-Cdb-3-99999999990,xp,Cdb,Cdb,255,2024-04-10,0,51,2021-08-10,117,,,29835,JOSE,xp-Cdb-3,0.13288623103559596,3,105
3,xp-Cdb-4-99999999990,xp,Cdb,Cdb,188,2024-02-10,0,2,2021-05-31,4249,,,798812,JOSE,xp-Cdb-4,3.557939198458404,4,105
4,xp-Cdb-5-99999999990,xp,Cdb,Cdb,84,2023-10-16,0,19,2021-02-26,5799,,,487116,JOSE,xp-Cdb-5,2.1696332936864544,5,105
5,xp-Cdb-6-99999999990,xp,Cdb,Cdb,156,2024-02-19,0,32,2019-09-23,318,,,49608,JOSE,xp-Cdb-6,0.22095592925134389,6,105
6,xp-Lci-1-99999999990,xp,Lci,Lci,242,2023-04-25,0,84,2020-01-07,7338,,,1775796,JOSE,xp-Lci-1,7.909463299081185,33,105
7,xp-Lci-2-99999999990,xp,Lci,Lci,139,2024-07-16,0,92,2020-05-31,1904,,,264656,JOSE,xp-Lci-2,1.1787879457334234,34,105
8,xp-Lci-3-99999999990,xp,Lci,Lci,256,2023-01-13,0,91,2021-04-28,4470,,,1144320,JOSE,xp-Lci-3,5.096845044365784,35,105
9,xp-Lci-4-99999999990,xp,Lci,Lci,253,2022-10-11,0,11,2020-06-02,5870,,,1485110,JOSE,xp-Lci-4,6.6147367378338835,36,105
10,xp-Lci-6-99999999990,xp,Lci,Lci,250,2023-04-22,0,83,2020-05-20,9090,,,2272500,JOSE,xp-Lci-6,10.121801911459421,38,105
11,xp-Lci-7-99999999990,xp,Lci,Lci,210,2022-12-10,0,90,2021-08-14,6207,,,1303470,JOSE,xp-Lci-7,5.805705231036309,39,105
12,xp-Lca-0-99999999990,xp,Lca,Lca,166,2022-09-09,0,79,2021-06-23,235,,,39010,JOSE,xp-Lca-0,0.1737520319322473,24,105
13,xp-Lca-1-99999999990,xp,Lca,Lca,172,2023-06-10,0,8,2020-11-03,7849,,,1350028,JOSE,xp-Lca-1,6.013076343640809,25,105
14,xp-Lca-3-99999999990,xp,Lca,Lca,127,2024-05-28,0,43,2020-01-03,2334,,,296418,JOSE,xp-Lca-3,1.3202571084668773,27,105
15,xp-Lca-5-99999999990,xp,Lca,Lca,134,2022-08-19,0,0,2019-12-24,35,,,4690,JOSE,xp-Lca-5,0.020889439368424502,29,105
16,xp-Cri-0-99999999990,xp,Cri,Cri,169,2024-07-01,0,44,2020-12-03,6845,,,1156805,JOSE,xp-Cri-0,5.152453711852944,16,105
17,xp-Cri-1-99999999990,xp,Cri,Cri,198,2024-08-03,0,28,2021-07-09,6232,,,1233936,JOSE,xp-Cri-1,5.495998135717752,17,105
18,xp-Cri-4-99999999990,xp,Cri,Cri,216,2023-03-08,0,89,2019-09-21,8325,,,1798200,JOSE,xp-Cri-4,8.009251571919178,20,105
19,xp-Cra-0-99999999990,xp,Cra,Cra,81,2023-01-07,0,8,2021-06-21,3735,,,302535,JOSE,xp-Cra-0,1.3475024604107264,8,105
20,xp-Cra-2-99999999990,xp,Cra,Cra,129,2024-03-13,0,73,2021-01-14,5380,,,694020,JOSE,xp-Cra-2,3.0911916227023397,10,105
21,xp-Cra-3-99999999990,xp,Cra,Cra,73,2023-08-08,0,38,2019-12-26,6174,,,450702,JOSE,xp-Cra-3,2.0074439450378807,11,105
22,xp-Cra-4-99999999990,xp,Cra,Cra,248,2023-10-30,0,34,2020-10-20,1518,,,376464,JOSE,xp-Cra-4,1.6767850538154716,12,105
23,xp-Cra-5-99999999990,xp,Cra,Cra,200,2023-11-16,0,54,2020-04-06,9350,,,1870000,JOSE,xp-Cra-5,8.329051517900602,13,105
24,xp-Cra-6-99999999990,xp,Cra,Cra,90,2023-08-29,0,62,2020-12-13,5587,,,502830,JOSE,xp-Cra-6,2.2396240506662886,14,105
25,xp-Cra-7-99999999990,xp,Cra,Cra,248,2023-07-12,0,12,2021-08-04,760,,,188480,JOSE,xp-Cra-7,0.8394971283924628,15,105
26,xp-stocks-2-99999999990,xp,,,14,,,21,2020-05-30,1757,FAC82,,24598,JOSE,xp-stocks-2,0.10956043274722942,46,105
27,xp-investfund-1-99999999990,xp,,renda-fixa,23,,,81,2019-12-30,1959,,renda-fixa 1,45057,JOSE,xp-investfund-1,0.20068560119895584,41,105
28,xp-Cdb-4-99999999991,xp,Cdb,Cdb,119,2024-08-05,0,47,2020-07-22,5041,,,599879,JOAO,xp-Cdb-4,2.9557882558612785,4,97
29,xp-Cdb-5-99999999991,xp,Cdb,Cdb,181,2023-10-16,0,66,2021-03-08,5635,,,1019935,JOAO,xp-Cdb-5,5.025533307120058,5,97
30,xp-Cdb-6-99999999991,xp,Cdb,Cdb,86,2023-11-14,0,62,2019-10-16,7681,,,660566,JOAO,xp-Cdb-6,3.2548117620741204,6,97
31,xp-Lci-1-99999999991,xp,Lci,Lci,241,2024-02-24,0,96,2020-08-26,8909,,,2147069,JOAO,xp-Lci-1,10.579269043796865,33,97
32,xp-Lci-2-99999999991,xp,Lci,Lci,207,2024-02-21,0,38,2020-08-05,9189,,,1902123,JOAO,xp-Lci-2,9.372344797206807,34,97
33,xp-Lci-3-99999999991,xp,Lci,Lci,91,2023-06-21,0,70,2020-07-16,612,,,55692,JOAO,xp-Lci-3,0.2744116055828364,35,97
34,xp-Lci-6-99999999991,xp,Lci,Lci,160,2024-05-16,0,92,2020-08-15,5307,,,849120,JOAO,xp-Lci-6,4.183875287877937,38,97
35,xp-Lca-1-99999999991,xp,Lca,Lca,186,2024-02-01,0,56,2020-04-18,6642,,,1235412,JOAO,xp-Lca-1,6.087254730954232,25,97
36,xp-Lca-2-99999999991,xp,Lca,Lca,104,2024-05-09,0,38,2020-05-30,301,,,31304,JOAO,xp-Lca-2,0.15424443189623485,26,97
37,xp-Lca-3-99999999991,xp,Lca,Lca,254,2024-03-02,0,32,2020-07-25,1799,,,456946,JOAO,xp-Lca-3,2.251513422478179,27,97
38,xp-Lca-5-99999999991,xp,Lca,Lca,143,2023-05-11,0,41,2021-07-15,3058,,,437294,JOAO,xp-Lca-5,2.154681976796324,29,97
39,xp-Lca-7-99999999991,xp,Lca,Lca,107,2022-08-21,0,78,2019-09-10,6101,,,652807,JOAO,xp-Lca-7,3.216580783698102,31,97
40,xp-Cri-1-99999999991,xp,Cri,Cri,218,2023-01-01,0,57,2020-10-14,4708,,,1026344,JOAO,xp-Cri-1,5.05711242046094,17,97
41,xp-Cri-2-99999999991,xp,Cri,Cri,156,2023-09-22,0,20,2020-04-30,4397,,,685932,JOAO,xp-Cri-2,3.379797842430621,18,97
42,xp-Cri-3-99999999991,xp,Cri,Cri,65,2024-06-06,0,0,2020-05-27,9900,,,643500,JOAO,xp-Cri-3,3.1707223334151267,19,97
